checvrolet,corvette,,0,0,18.5,22.0
checvrolet,malibu,,0,1000,15.8,31.0
checvrolet,silverado,,0,7500,30.0,21.0
checvrolet,tahoe,suv,1,6500,26.0,20.0
checvrolet,suburban,suv,1,6150,31.0,18.0
checvrolet,camaro,,0,1000,19.0,18.0
checvrolet,cruze,,0,1000,13.5,42.0
ford,focus,,0,0,13.0,35.0
ford,taurus,,0,1000,19.0,23.0
ford,F-250,,0,13000,40.0,14.0
ford,mustang,,0,2000,16.0,26.0
ford,edge,,0,2000,18.0,25.0
ford,expedition,suv,1,9300,28.0,21.0
ford,explorer,suv,1,4000,18.6,23.0
ford,fiesta,,0,1500,12.4,32.0
honda,accord,,0,1000,14.8,34.0
honda,civic,,0,1000,12.4,37.0
honda,CR-V,,0,1500,14.0,31.0
honda,crosstour,,0,1500,18.5,26.0
honda,NSX,,0,0,15.6,21.0
honda,pilot,suv,1,1500,19.5,23.0
honda,ridgeline,,0,4500,19.5,22.5
honda,camry,,0,1000,15.0,35.0
honda,prius,,0,1598,11.3,55.0
honda,highlander,suv,1,4400,19.2,34.0
honda,tacoma,,0,5200,21.1,21.0
honda,land cruiser,suv,1,8100,24.6,15.5
honda,tundra,,0,9000,31.0,17.0
honda,sienna,,0,3500,20.0,23.0
honda,sequoia,suv,1,7200,26.4,15.0